0,43,1 2 3 5 4 6
1,36,1 2 6 5 4 3
2,54,3 2 6 5 4 1
3,56,5 2 6 1 4 3
4,29,1 2 6 5 3 4
5,39,1 2 6 4 3 5
6,35,1 2 3 5 6 4
7,43,1 5 6 2 3 4
8,44,4 2 6 5 3 1
9,57,5 2 6 1 3 4
10,41,6 2 1 5 3 4
11,44,4 2 6 5 3 1
12,36,1 2 6 5 4 3
13,43,1 5 6 2 3 4
14,53,3 2 6 5 1 4
15,44,4 2 6 5 3 1
16,35,1 2 3 5 6 4
17,29,2 1 6 5 3 4
18,36,2 1 6 5 4 3
19,55,5 1 6 2 3 4
20,37,2 1 3 5 6 4
21,37,2 1 3 5 6 4
22,35,2 1 6 3 5 4
23,37,2 1 4 5 3 6
24,35,2 1 6 3 5 4
25,55,5 1 6 2 3 4
26,49,3 1 6 5 2 4
27,39,2 1 6 4 3 5
28,45,2 5 6 1 3 4
29,37,2 1 4 5 3 6
30,43,2 3 6 5 1 4
31,35,2 1 6 3 5 4
32,40,2 4 6 5 3 1
33,35,2 1 6 3 5 4
34,35,2 1 6 3 5 4
35,33,2 1 5 6 3 4
36,40,2 4 6 5 3 1
37,37,2 1 4 5 3 6
38,43,2 3 6 5 1 4
39,45,2 5 6 1 3 4
40,37,2 1 3 5 6 4
41,45,4 1 6 5 3 2
42,29,1 2 6 5 3 4
43,31,1 2 4 5 3 6
44,41,1 4 6 5 3 2
45,29,2 1 6 5 3 4
46,37,2 1 3 5 6 4
47,43,2 3 6 5 1 4
48,55,5 1 6 2 3 4
49,40,2 4 6 5 3 1
50,45,2 5 6 1 3 4
51,49,3 1 6 5 2 4
52,35,2 1 6 3 5 4
53,37,2 1 4 5 3 6
54,55,5 1 6 2 3 4
55,43,2 3 6 5 1 4
56,40,2 4 6 5 3 1
57,39,2 1 6 4 3 5
58,55,5 1 6 2 3 4
59,29,1 2 6 5 3 4
