Iteration;Cost;Temperature;Sequence
0;205;3;12 10 1 11 9 16 2 13 6 17 14 4 3 7 8 15 5
1;195;2,278652;6 10 1 11 9 16 2 13 12 17 14 4 3 7 8 15 5
2;193;1,797754;6 10 1 11 9 16 14 13 12 17 2 4 3 7 8 15 5
3;193;1,43708;6 10 1 11 9 16 14 13 12 17 2 4 3 7 8 15 5
4;193;1,148541;6 10 1 11 9 16 14 13 12 17 2 4 3 7 8 15 5
5;193;0,908092;6 10 1 11 9 16 14 13 12 17 2 4 3 7 8 15 5
6;193;0,7019928;6 10 1 11 9 16 14 13 12 17 2 4 3 7 8 15 5
7;175;0,5216559;6 10 1 11 9 16 12 13 14 17 2 4 3 7 8 15 5
8;167;0,3613564;6 10 1 11 9 16 12 13 15 17 2 4 3 7 8 14 5
9;167;0,2170869;6 10 1 11 9 16 12 13 15 17 2 4 3 7 8 14 5
