Iteration,Cost,Sequence
83,137,3 6 2 14 15 1 13 17 4 10 5 9 16 7 8 11 12
84,129,3 6 4 14 15 1 13 17 2 10 5 9 16 7 8 11 12
85,129,3 6 4 14 15 1 13 17 2 10 5 9 16 7 8 11 12
86,129,3 6 4 14 15 1 13 17 2 10 5 9 16 7 8 11 12
87,125,3 6 4 14 15 1 13 17 2 10 5 9 16 12 8 11 7
88,125,3 6 4 14 15 1 13 17 2 10 5 9 16 12 8 11 7
89,121,3 6 4 14 15 1 13 17 2 10 5 9 16 12 11 8 7
90,121,3 6 4 14 15 1 13 17 2 10 5 9 16 12 11 8 7
91,117,3 6 4 10 15 1 13 17 2 14 5 9 16 12 11 8 7
92,117,3 6 4 10 15 1 13 17 2 14 5 9 16 12 11 8 7
93,117,3 6 4 10 15 1 13 17 2 14 5 9 16 12 11 8 7
94,111,3 6 13 10 15 1 4 17 2 14 5 9 16 12 11 8 7
95,111,3 6 13 10 15 1 4 17 2 14 5 9 16 12 11 8 7
96,111,3 6 13 10 15 1 4 17 2 14 5 9 16 12 11 8 7
97,111,3 6 13 10 15 1 4 17 2 14 5 9 16 12 11 8 7
98,111,3 6 13 10 15 1 4 17 2 14 5 9 12 16 11 8 7
99,111,3 6 13 10 15 1 4 17 2 14 5 9 12 16 11 8 7
100,111,3 6 13 10 15 1 4 17 2 14 5 9 12 16 11 8 7
101,111,3 6 13 10 15 1 4 17 2 14 5 9 12 16 11 8 7
102,109,3 6 13 10 15 1 14 17 2 4 5 9 12 16 11 8 7
103,101,3 6 13 10 1 15 14 17 2 4 5 9 12 16 11 8 7
104,101,3 6 13 10 1 15 14 17 2 4 5 9 12 16 11 8 7
105,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
106,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
107,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
108,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
109,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
110,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
111,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
112,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
113,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
114,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
115,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
116,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
117,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
118,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
119,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
120,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
121,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
122,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
123,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
124,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
125,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
126,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
127,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
128,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
129,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
130,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
131,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
132,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
133,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
134,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
135,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
136,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
137,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
138,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
139,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
140,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
141,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
142,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
143,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
144,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
145,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
146,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
147,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
148,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
149,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
150,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
151,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
152,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
153,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
154,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
155,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
156,101,3 6 4 10 1 15 14 17 2 13 5 9 12 16 11 8 7
157,95,3 6 4 10 1 15 17 14 2 13 5 9 12 16 11 8 7
