Iteration,Cost,Sequence
0,217,14 1 9 13 2 10 15 12 16 11 3 8 5 4 6 7 17
1,217,14 1 9 13 2 10 15 12 16 11 3 8 5 4 6 7 17
2,201,3 1 9 13 2 10 15 12 16 11 14 8 5 4 6 7 17
3,201,3 1 9 13 2 10 15 12 16 11 14 8 5 4 6 7 17
4,193,3 1 9 13 2 10 15 12 11 16 14 8 5 4 6 7 17
5,179,3 1 9 13 2 10 15 12 11 16 14 4 5 8 6 7 17
6,173,3 1 9 14 2 10 15 12 11 16 13 4 5 8 6 7 17
7,173,3 1 9 14 2 10 15 12 11 16 13 4 5 8 6 7 17
8,173,3 1 9 14 2 10 15 12 11 16 13 4 5 8 6 7 17
9,171,3 5 9 14 2 10 15 12 11 16 13 4 1 8 6 7 17
10,169,3 5 9 14 2 10 15 12 6 16 13 4 1 8 11 7 17
11,169,3 5 9 14 2 10 15 12 6 16 13 4 1 8 11 7 17
12,169,3 5 9 14 2 10 15 12 6 16 13 4 1 8 11 7 17
13,169,3 5 9 14 2 10 15 12 6 16 13 4 1 8 11 7 17
14,169,3 5 9 14 2 10 15 12 6 16 13 4 1 8 11 7 17
15,169,3 5 9 14 2 10 15 12 6 16 13 4 1 8 11 7 17
16,169,3 5 9 14 2 10 15 12 6 16 13 4 1 8 11 7 17
17,169,3 5 9 14 2 10 15 12 6 16 13 4 1 8 11 7 17
18,169,3 5 9 14 2 10 15 12 6 16 13 4 1 8 11 7 17
19,163,3 5 9 12 2 10 15 14 6 16 13 4 1 8 11 7 17
20,163,3 5 9 12 2 10 15 14 6 16 13 4 1 8 11 7 17
21,163,3 5 9 12 2 10 15 14 6 16 13 4 1 8 11 7 17
22,163,3 5 9 12 2 10 15 14 6 16 13 4 1 8 11 7 17
23,163,3 5 9 12 2 10 15 14 6 16 13 4 1 8 11 7 17
24,163,3 5 9 12 2 10 15 14 6 16 1 4 13 8 11 7 17
25,163,3 5 9 12 2 10 15 14 6 16 1 4 13 8 11 7 17
26,163,3 5 9 12 14 10 15 2 6 16 1 4 13 8 11 7 17
27,163,3 5 9 12 14 10 15 2 6 16 1 4 13 8 11 7 17
28,163,3 5 9 12 14 10 15 2 6 16 1 4 13 8 11 7 17
29,163,3 5 9 12 14 10 15 2 6 16 1 4 13 8 11 7 17
30,163,3 5 9 12 14 10 15 2 6 16 1 4 13 8 11 7 17
31,163,3 5 9 12 13 10 15 2 6 16 1 4 14 8 11 7 17
32,163,3 5 9 12 13 10 15 2 6 16 1 4 14 8 11 7 17
33,163,3 5 9 12 13 10 15 2 6 16 1 4 14 8 11 7 17
34,163,3 5 9 12 14 10 15 2 6 16 1 4 13 8 11 7 17
35,161,3 5 9 12 14 10 15 17 6 16 1 4 13 8 11 7 2
36,161,3 5 9 12 14 10 15 17 6 16 1 4 13 8 11 7 2
37,161,3 5 9 12 14 10 15 17 6 16 1 4 13 8 11 7 2
38,161,3 5 9 12 14 10 15 17 6 16 1 4 13 8 11 7 2
39,161,3 5 9 12 14 10 15 17 6 16 1 4 13 8 11 7 2
40,161,3 5 9 12 14 10 15 17 6 16 1 4 13 8 11 7 2
41,161,3 5 9 12 14 10 15 17 6 16 1 4 13 8 11 7 2
42,161,3 5 9 12 14 10 15 17 6 16 1 4 13 8 11 7 2
43,161,3 5 9 12 14 10 17 15 6 16 1 4 13 8 11 7 2
44,161,3 5 9 12 14 10 17 15 6 16 1 4 13 8 11 7 2
45,161,3 5 9 12 14 10 17 15 16 6 1 4 13 8 11 7 2
46,161,3 5 9 12 14 10 17 15 16 6 1 4 13 8 11 7 2
47,161,3 5 9 12 14 10 17 15 16 6 1 4 13 8 11 7 2
48,161,3 5 9 12 14 10 17 15 16 6 1 4 13 8 11 7 2
49,161,3 5 9 12 14 10 17 15 16 6 1 4 13 8 11 7 2
50,161,3 5 9 12 14 10 17 15 16 6 1 4 13 8 11 7 2
51,157,3 5 9 12 14 10 17 15 16 6 1 4 13 11 8 7 2
52,157,3 5 9 12 14 10 17 15 16 6 1 4 13 11 8 7 2
53,157,3 5 9 12 14 10 17 15 16 6 1 4 13 11 8 7 2
54,157,3 5 9 12 14 10 17 15 16 6 1 4 13 11 8 7 2
55,157,3 5 9 12 14 10 17 15 16 6 1 4 13 11 8 7 2
56,157,3 5 9 12 14 10 17 15 16 6 1 4 13 11 8 7 2
57,157,3 5 9 12 14 10 17 15 16 6 1 4 13 11 8 7 2
58,157,3 5 9 12 14 10 17 15 16 6 1 4 13 11 8 7 2
59,157,3 5 9 12 14 10 17 15 16 6 1 4 13 11 8 7 2
60,157,3 5 9 12 14 10 17 15 16 6 1 4 13 11 8 7 2
61,157,3 5 9 12 14 10 17 15 16 6 1 4 13 11 8 7 2
62,157,3 5 9 12 14 10 17 15 16 6 1 4 13 11 8 7 2
63,157,3 5 9 12 14 10 17 15 16 6 1 4 13 11 8 7 2
64,157,3 5 9 12 14 10 17 15 16 6 1 4 13 11 8 7 2
65,157,3 5 9 12 14 10 17 15 16 6 1 4 13 11 8 7 2
66,157,3 5 9 12 14 10 17 15 16 6 1 4 13 11 8 7 2
67,157,3 5 9 12 14 10 17 15 16 6 1 4 13 11 8 7 2
68,157,3 5 9 12 14 10 17 15 16 6 1 4 13 11 8 7 2
69,157,3 5 9 12 14 10 17 15 16 6 1 4 13 11 8 7 2
70,157,3 5 9 12 14 10 17 15 16 6 1 4 13 11 8 7 2
71,157,3 5 9 12 14 10 17 15 16 6 7 4 13 11 8 1 2
72,157,3 5 9 12 14 10 17 15 16 6 7 4 13 11 8 1 2
73,157,3 5 9 12 14 10 17 15 16 6 7 4 13 11 8 1 2
74,153,3 5 9 12 14 10 1 15 16 6 7 4 13 11 8 17 2
75,151,3 5 9 12 14 10 1 2 16 6 7 4 13 11 8 17 15
76,151,3 5 9 12 14 10 1 2 16 6 7 4 13 11 8 17 15
77,151,3 5 9 12 14 10 1 2 16 6 7 4 13 11 8 17 15
78,151,3 5 9 12 14 10 1 2 16 6 7 4 13 11 8 17 15
79,149,3 5 9 12 14 10 1 2 16 6 7 8 13 11 4 17 15
80,149,3 5 9 12 14 10 1 2 16 6 7 8 13 11 4 17 15
81,149,3 5 9 12 14 10 1 2 16 6 7 8 13 11 4 17 15
82,149,3 5 9 12 14 10 1 2 16 6 7 8 13 11 4 17 15
83,149,3 5 9 12 14 10 1 2 16 6 7 8 13 11 4 17 15
84,147,3 5 9 12 14 10 1 2 16 6 13 8 7 11 4 17 15
85,141,3 5 9 13 14 10 1 2 16 6 12 8 7 11 4 17 15
86,141,3 5 9 13 14 10 1 2 16 6 12 8 7 11 4 17 15
87,141,3 5 9 13 14 1 10 2 16 6 12 8 7 11 4 17 15
88,141,3 5 9 13 14 1 10 2 16 6 12 8 7 11 4 17 15
89,141,3 5 9 13 14 1 10 2 16 6 12 8 7 11 4 17 15
90,141,3 5 9 13 14 1 10 2 16 8 12 6 7 11 4 17 15
