Iteration;Cost;Temperature;Sequence
0;221;10000;12 10 1 11 18 9 16 2 19 13 20 6 17 14 4 3 7 8 15 5
1;219;8000;12 10 1 11 18 9 16 2 19 13 20 6 5 14 4 3 7 8 15 17
2;215;6400;12 10 1 9 18 11 16 2 19 13 20 6 5 14 4 3 7 8 15 17
3;215;5120;12 10 1 9 18 11 16 19 2 13 20 6 5 14 4 3 7 8 15 17
4;211;4096;12 10 1 9 18 11 16 19 8 13 20 6 5 14 4 3 7 2 15 17
5;225;3276,8;12 10 1 9 15 11 16 19 8 13 20 6 5 14 4 3 7 2 18 17
6;225;2621,44;11 10 1 9 15 12 16 19 8 13 20 6 5 14 4 3 7 2 18 17
7;221;2097,152;11 10 1 9 15 12 16 19 8 13 17 6 5 14 4 3 7 2 18 20
8;221;1677,722;11 10 1 9 15 12 16 19 8 13 17 7 5 14 4 3 6 2 18 20
9;225;1342,177;11 15 1 9 10 12 16 19 8 13 17 7 5 14 4 3 6 2 18 20
10;225;1073,742;11 15 1 9 17 12 16 19 8 13 10 7 5 14 4 3 6 2 18 20
11;227;858,9936;11 15 1 9 17 12 10 19 8 13 16 7 5 14 4 3 6 2 18 20
12;219;687,1949;11 15 1 19 17 12 10 9 8 13 16 7 5 14 4 3 6 2 18 20
13;199;549,7559;11 15 1 19 17 12 10 6 8 13 16 7 5 14 4 3 9 2 18 20
14;199;439,8047;11 15 1 18 17 12 10 6 8 13 16 7 5 14 4 3 9 2 19 20
15;189;351,8438;18 15 1 11 17 12 10 6 8 13 16 7 5 14 4 3 9 2 19 20
16;197;281,4751;18 15 1 11 17 12 10 6 8 13 7 16 5 14 4 3 9 2 19 20
17;207;225,1801;18 15 1 11 17 12 10 8 6 13 7 16 5 14 4 3 9 2 19 20
18;193;180,144;18 15 1 11 17 12 10 8 6 13 14 16 5 7 4 3 9 2 19 20
19;179;144,1152;18 15 1 11 17 12 10 8 6 16 14 13 5 7 4 3 9 2 19 20
20;201;115,2922;18 15 1 11 17 12 10 8 6 16 14 13 5 20 4 3 9 2 19 7
21;211;92,23376;18 15 1 11 17 12 10 8 6 16 4 13 5 20 14 3 9 2 19 7
22;212;73,78701;18 15 1 11 17 12 10 8 7 16 4 13 5 20 14 3 9 2 19 6
23;218;59,02961;18 15 1 11 17 12 14 8 7 16 4 13 5 20 10 3 9 2 19 6
24;218;47,22369;18 15 1 11 17 12 14 8 7 16 4 13 5 20 10 3 9 2 19 6
25;206;37,77895;18 15 10 11 17 12 14 8 7 16 4 13 5 20 1 3 9 2 19 6
