Iteration,Cost,Sequence
0,115,1 9 2 6 4 3 7 8 5
1,103,1 9 6 2 4 3 7 8 5
2,99,1 2 6 9 4 3 7 8 5
3,99,1 2 6 9 4 3 7 8 5
4,99,1 2 6 9 4 3 7 8 5
5,91,1 2 8 9 4 3 7 6 5
6,91,1 2 8 9 4 3 7 6 5
7,91,1 2 8 9 4 3 7 6 5
8,87,1 2 3 9 4 8 7 6 5
9,87,1 2 3 9 4 8 7 6 5
10,87,1 2 3 9 4 8 7 6 5
11,87,1 2 3 9 4 8 7 6 5
12,87,1 2 3 9 4 8 7 6 5
13,87,1 2 3 9 4 8 7 6 5
14,81,1 2 5 9 4 8 7 6 3
15,81,1 2 5 9 4 8 7 6 3
16,81,1 2 5 9 4 8 7 6 3
17,81,1 2 5 9 4 8 7 6 3
18,81,1 2 5 9 4 8 7 6 3
19,81,1 2 5 9 4 8 7 6 3
20,81,1 2 5 9 4 8 7 6 3
21,81,1 2 5 9 4 8 7 6 3
22,81,1 2 5 9 4 8 7 6 3
23,81,1 2 5 9 4 8 7 6 3
24,81,1 2 5 9 4 8 7 6 3
25,81,1 2 5 9 4 8 7 6 3
26,81,1 2 5 9 4 8 7 6 3
27,81,1 2 5 9 4 8 7 6 3
28,81,1 2 5 9 4 8 7 6 3
29,81,1 2 5 9 4 8 7 6 3
30,81,1 2 5 9 4 8 7 6 3
31,81,1 2 5 9 4 8 7 6 3
32,81,1 2 5 9 4 8 7 6 3
33,81,1 2 5 9 4 8 7 6 3
34,81,1 2 5 9 4 8 7 6 3
35,81,1 2 5 9 4 8 7 6 3
36,81,1 2 5 9 4 8 7 6 3
37,81,1 2 5 9 4 8 7 6 3
38,81,1 2 5 9 4 8 7 6 3
39,81,1 2 5 9 4 8 7 6 3
40,81,1 2 5 9 4 8 7 6 3
41,81,1 2 9 5 4 8 7 6 3
42,81,1 2 9 5 4 8 7 6 3
43,81,1 2 9 5 4 8 7 6 3
44,81,1 2 9 5 4 8 7 6 3
45,81,1 2 9 5 4 8 7 6 3
46,81,1 2 9 5 4 8 7 6 3
47,81,1 2 9 5 4 8 7 6 3
48,81,1 2 9 5 4 8 7 6 3
49,81,1 2 9 4 5 8 7 6 3
50,81,1 2 9 4 5 8 7 6 3
51,81,1 2 9 4 5 8 7 6 3
52,81,1 2 9 4 5 8 7 6 3
53,71,1 2 5 4 9 8 7 6 3
54,71,1 2 5 4 9 8 7 6 3
55,71,1 2 5 4 9 8 7 6 3
56,63,1 2 4 5 9 8 7 6 3
57,63,1 2 4 5 9 8 7 6 3
58,63,1 2 4 5 9 8 7 6 3
59,63,1 2 4 5 9 8 7 6 3
