Iteration,Cost,Sequence
0,97,1 4 2 7 3 8 9 5 6
1,85,1 4 2 7 6 8 9 5 3
2,85,1 4 2 7 6 8 9 5 3
3,85,1 4 2 7 6 8 9 5 3
4,85,1 4 2 7 6 8 9 5 3
5,85,1 4 2 7 6 8 9 5 3
6,75,1 4 2 6 7 8 9 5 3
7,75,1 4 2 6 7 8 9 5 3
8,75,1 4 2 6 7 8 9 5 3
9,75,1 4 2 6 7 8 9 5 3
10,75,1 4 2 6 7 8 9 5 3
11,71,1 2 4 6 7 8 9 5 3
12,71,1 2 4 6 7 8 9 5 3
13,71,1 2 4 6 7 8 9 5 3
14,71,1 2 4 6 7 8 9 5 3
15,71,1 2 4 6 7 8 9 5 3
16,71,1 2 4 6 7 8 9 5 3
17,71,1 2 4 6 7 8 9 5 3
18,71,1 2 4 6 7 8 9 5 3
19,71,1 2 4 6 7 8 9 5 3
20,71,1 2 4 6 7 8 9 5 3
21,71,1 2 4 6 7 8 9 5 3
22,71,1 2 4 6 7 8 9 5 3
23,71,1 2 4 6 7 8 9 5 3
24,71,1 2 4 6 7 8 9 5 3
25,71,1 2 4 6 7 8 9 5 3
26,71,1 2 4 6 7 8 9 5 3
27,71,1 2 4 6 7 8 9 5 3
28,71,1 2 4 6 7 8 9 5 3
29,71,1 2 4 6 7 8 9 5 3
30,71,1 2 4 6 7 8 9 5 3
31,71,1 2 4 6 7 8 9 5 3
32,71,1 2 4 6 7 8 9 5 3
33,71,1 2 4 6 7 8 9 5 3
34,71,1 2 4 6 7 8 9 5 3
35,71,1 2 4 6 7 8 9 5 3
36,71,1 2 4 6 7 8 9 5 3
37,71,1 2 4 6 7 8 9 5 3
38,71,1 2 4 6 7 8 9 5 3
39,71,1 2 4 6 7 8 9 5 3
40,71,1 2 4 6 7 8 9 5 3
41,71,1 2 4 6 7 8 9 5 3
42,71,1 2 4 6 7 8 9 5 3
43,71,1 2 4 6 7 8 9 5 3
44,71,1 2 4 6 7 8 9 5 3
45,71,1 2 4 6 7 8 9 5 3
46,71,1 2 4 6 7 8 9 5 3
47,71,1 2 4 6 7 8 9 5 3
48,71,1 2 4 6 7 8 9 5 3
49,71,1 2 4 6 7 8 9 5 3
50,71,1 2 4 6 7 8 9 5 3
51,71,1 2 4 6 7 8 9 5 3
52,71,1 2 4 6 7 8 9 5 3
53,71,1 2 4 6 7 8 9 5 3
54,71,1 2 4 6 7 8 9 5 3
55,71,1 2 4 6 7 8 9 5 3
56,71,1 2 4 6 7 8 9 5 3
57,71,1 2 4 6 7 8 9 5 3
58,71,1 2 4 6 7 8 9 5 3
59,71,1 2 4 6 7 8 9 5 3
