Iteration;Cost;Temperature;Sequence
0;233;10000;16 12 1 13 14 7 15 6 4 17 8 11 5 3 9 10 2
1;217;9000;16 12 1 13 14 7 15 10 4 17 8 11 5 3 9 6 2
2;187;8100;16 12 7 13 14 1 15 10 4 17 8 11 5 3 9 6 2
3;179;7290;16 12 7 13 14 1 15 10 17 4 8 11 5 3 9 6 2
4;209;6561;16 12 7 13 11 1 15 10 17 4 8 14 5 3 9 6 2
5;197;5904,9;6 12 7 13 11 1 15 10 17 4 8 14 5 3 9 16 2
6;157;5314,41;6 12 7 8 11 1 15 10 17 4 13 14 5 3 9 16 2
7;159;4782,969;6 12 7 8 11 1 15 10 17 4 13 9 5 3 14 16 2
8;153;4304,672;6 12 7 8 11 17 15 10 1 4 13 9 5 3 14 16 2
9;185;3874,205;10 12 7 8 11 17 15 6 1 4 13 9 5 3 14 16 2
10;195;3486,784;10 12 6 8 11 17 15 7 1 4 13 9 5 3 14 16 2
11;201;3138,105;2 12 6 8 11 17 15 7 1 4 13 9 5 3 14 16 10
12;197;2824,295;2 6 12 8 11 17 15 7 1 4 13 9 5 3 14 16 10
13;213;2541,865;2 6 12 8 16 17 15 7 1 4 13 9 5 3 14 11 10
14;235;2287,679;2 6 12 8 16 5 15 7 1 4 13 9 17 3 14 11 10
15;233;2058,911;2 6 12 8 16 5 15 7 17 4 13 9 1 3 14 11 10
16;223;1853,02;1 6 12 8 16 5 15 7 17 4 13 9 2 3 14 11 10
17;221;1667,718;1 6 12 8 16 5 15 7 17 4 13 9 10 3 14 11 2
18;207;1500,946;1 6 12 8 16 5 15 7 17 4 11 9 10 3 14 13 2
19;227;1350,851;1 6 12 8 16 5 15 7 17 4 3 9 10 11 14 13 2
20;253;1215,766;1 6 4 8 16 5 15 7 17 12 3 9 10 11 14 13 2
21;253;1094,189;1 6 4 8 16 5 15 7 17 9 3 12 10 11 14 13 2
22;227;984,7705;1 6 9 8 16 5 15 7 17 4 3 12 10 11 14 13 2
23;233;886,2935;1 6 9 16 8 5 15 7 17 4 3 12 10 11 14 13 2
24;234;797,6641;1 6 9 16 8 5 15 7 17 4 3 12 10 11 2 13 14
25;212;717,8976;1 6 9 16 8 17 15 7 5 4 3 12 10 11 2 13 14
26;204;646,1078;1 6 9 16 3 17 15 7 5 4 8 12 10 11 2 13 14
27;214;581,4971;1 6 9 3 16 17 15 7 5 4 8 12 10 11 2 13 14
28;192;523,3474;1 6 9 3 16 17 15 7 5 4 8 12 11 10 2 13 14
29;192;471,0126;1 6 9 3 5 17 15 7 16 4 8 12 11 10 2 13 14
30;198;423,9113;13 6 9 3 5 17 15 7 16 4 8 12 11 10 2 1 14
31;186;381,5202;13 6 9 7 5 17 15 3 16 4 8 12 11 10 2 1 14
32;194;343,3682;13 10 9 7 5 17 15 3 16 4 8 12 11 6 2 1 14
33;194;309,0313;13 10 12 7 5 17 15 3 16 4 8 9 11 6 2 1 14
34;192;278,1282;6 10 12 7 5 17 15 3 16 4 8 9 11 13 2 1 14
35;176;250,3154;6 10 4 7 5 17 15 3 16 12 8 9 11 13 2 1 14
36;176;225,2838;6 10 4 7 5 15 17 3 16 12 8 9 11 13 2 1 14
37;201;202,7554;6 10 4 7 5 15 17 3 16 12 14 9 11 13 2 1 8
38;211;182,4799;6 10 4 11 5 15 17 3 16 12 14 9 7 13 2 1 8
39;207;164,2319;6 10 4 11 5 15 17 9 16 12 14 3 7 13 2 1 8
40;203;147,8087;6 10 4 11 5 15 17 9 16 12 13 3 7 14 2 1 8
41;207;133,0278;6 10 4 11 5 15 17 9 16 12 13 3 7 2 14 1 8
42;199;119,7251;6 14 4 11 5 15 17 9 16 12 13 3 7 2 10 1 8
43;217;107,7525;6 14 4 11 5 15 3 9 16 12 13 17 7 2 10 1 8
44;205;96,97729;6 14 4 11 5 15 7 9 16 12 13 17 3 2 10 1 8
45;197;87,27956;6 14 4 11 5 10 7 9 16 12 13 17 3 2 15 1 8
46;203;78,5516;6 14 4 11 3 10 7 9 16 12 13 17 5 2 15 1 8
47;209;70,69643;7 14 4 11 3 10 6 9 16 12 13 17 5 2 15 1 8
48;209;63,62679;7 14 4 11 3 10 6 9 16 12 13 17 5 2 15 1 8
49;209;57,26411;11 14 4 7 3 10 6 9 16 12 13 17 5 2 15 1 8
50;201;51,5377;11 14 4 7 3 10 6 9 12 16 13 17 5 2 15 1 8
