0,35,1 4 2 3 5 6
1,43,1 3 2 4 5 6
2,45,1 4 6 3 5 2
3,55,5 4 2 3 1 6
4,34,1 4 2 6 5 3
5,54,1 5 2 6 4 3
6,54,1 5 2 6 4 3
7,38,1 4 2 5 6 3
8,39,1 4 3 6 5 2
9,40,1 6 2 4 5 3
10,54,5 4 2 6 1 3
11,46,1 4 5 6 2 3
12,39,1 4 3 6 5 2
13,46,1 4 5 6 2 3
14,40,1 6 2 4 5 3
15,42,6 4 2 1 5 3
16,34,2 4 1 6 5 3
17,42,2 4 5 6 1 3
18,48,6 4 1 2 5 3
19,54,2 5 1 6 4 3
20,54,2 5 1 6 4 3
21,49,3 4 1 6 5 2
22,36,2 1 4 6 5 3
23,47,2 3 1 6 5 4
24,37,2 4 1 6 3 5
25,49,3 4 1 6 5 2
26,47,2 3 1 6 5 4
27,37,2 4 1 3 5 6
28,49,3 4 1 6 5 2
29,54,2 5 1 6 4 3
30,34,1 4 2 6 5 3
31,54,1 5 2 6 4 3
32,54,5 4 2 6 1 3
33,40,4 1 2 6 5 3
34,39,1 4 3 6 5 2
35,34,2 4 1 6 5 3
36,34,4 2 1 6 5 3
37,52,5 2 1 6 4 3
38,34,2 4 1 6 5 3
39,46,2 6 1 4 5 3
40,42,2 4 5 6 1 3
41,44,2 4 6 1 5 3
42,46,2 6 1 4 5 3
43,34,1 4 2 6 5 3
44,40,1 6 2 4 5 3
45,50,1 4 6 2 5 3
46,37,1 4 2 6 3 5
47,50,1 4 6 2 5 3
48,30,1 2 4 6 5 3
49,34,1 4 2 6 5 3
50,42,1 2 6 4 5 3
51,58,5 2 4 6 1 3
52,56,1 5 4 6 2 3
53,25,1 2 4 3 5 6
54,31,1 2 4 5 3 6
55,51,1 5 4 3 2 6
56,37,4 2 1 3 5 6
57,31,1 2 4 5 3 6
58,41,1 3 4 2 5 6
59,44,6 2 4 3 5 1
