Iteration;Cost;Temperature;Sequence
0;121;10000;3 5 2 7 8 4 6 1 9
1;125;8000;2 5 3 7 8 4 6 1 9
2;131;6400;2 5 3 7 9 4 6 1 8
3;115;5120;2 5 8 7 9 4 6 1 3
4;115;4096;2 5 8 7 4 9 6 1 3
5;101;3276,8;6 5 8 7 4 9 2 1 3
6;117;2621,44;8 5 6 7 4 9 2 1 3
7;125;2097,152;8 5 6 4 7 9 2 1 3
8;119;1677,722;8 6 5 4 7 9 2 1 3
9;119;1342,177;8 6 4 5 7 9 2 1 3
10;125;1073,742;8 6 4 5 7 3 2 1 9
11;135;858,9936;8 6 4 5 1 3 2 7 9
12;125;687,1949;8 7 4 5 1 3 2 6 9
13;117;549,7559;8 9 4 5 1 3 2 6 7
14;107;439,8047;6 9 4 5 1 3 2 8 7
15;120;351,8438;6 9 4 5 7 3 2 8 1
16;100;281,4751;6 9 4 5 7 8 2 3 1
17;93;225,1801;1 9 4 5 7 8 2 3 6
18;95;180,144;1 3 4 5 7 8 2 9 6
19;95;144,1152;1 3 4 8 7 5 2 9 6
20;93;115,2922;1 3 5 8 7 4 2 9 6
21;107;92,23376;2 3 5 8 7 4 1 9 6
22;107;73,78701;2 3 5 8 7 9 1 4 6
23;111;59,02961;2 1 5 8 7 9 3 4 6
24;107;47,22369;2 1 5 6 7 9 3 4 8
25;105;37,77895;2 1 5 6 4 9 3 7 8
26;112;30,22316;2 1 5 6 8 9 3 7 4
27;105;24,17853;2 1 5 6 8 9 4 7 3
28;107;19,34282;2 1 5 6 9 8 4 7 3
29;111;15,47426;2 4 5 6 9 8 1 7 3
30;105;12,37941;2 4 5 7 9 8 1 6 3
31;93;9,903527;1 4 5 7 9 8 2 6 3
32;93;7,922822;1 4 5 7 9 8 2 6 3
33;93;6,338258;1 4 5 7 9 8 2 6 3
34;93;5,070606;1 4 5 7 9 8 2 6 3
35;95;4,056485;1 6 5 7 9 8 2 4 3
36;101;3,245188;1 6 5 7 9 3 2 4 8
37;101;2,596151;1 6 5 7 9 4 2 3 8
38;101;2,076921;1 6 5 7 9 4 2 3 8
39;95;1,661536;1 6 5 7 8 4 2 3 9
40;95;1,329229;1 6 5 7 8 4 2 3 9
41;95;1,063383;1 6 5 7 8 4 2 3 9
42;95;0,8507068;1 6 5 7 8 4 2 3 9
43;95;0,6805654;1 6 5 7 8 4 2 3 9
44;95;0,5444524;1 6 5 7 8 4 2 3 9
45;81;0,4355619;3 6 5 7 8 4 2 1 9
46;81;0,3484495;3 6 5 7 8 4 2 1 9
47;81;0,2787596;3 6 5 7 8 4 2 1 9
48;72;0,2230077;3 6 5 7 8 9 2 1 4
49;72;0,1784062;3 6 5 7 8 9 2 1 4
50;72;0,1427249;3 6 5 7 8 9 2 1 4
51;72;0,1141799;3 6 5 7 8 9 2 1 4
52;72;0,09134396;3 6 5 7 8 9 2 1 4
53;72;0,07307517;3 6 5 7 8 9 2 1 4
54;72;0,05846014;3 6 5 7 8 9 1 2 4
55;72;0,04676811;3 6 5 7 8 9 1 2 4
56;72;0,03741449;3 6 5 7 8 9 1 2 4
57;72;0,02993159;3 6 5 7 8 9 1 2 4
58;72;0,02394527;3 6 5 7 8 9 1 2 4
59;72;0,01915622;3 6 5 7 8 9 1 2 4
60;72;0,01532497;3 6 5 7 8 9 1 2 4
61;72;0,01225998;3 6 5 7 8 9 1 2 4
62;72;0,009807984;3 6 5 7 8 9 1 2 4
63;72;0,007846388;3 6 5 7 8 9 1 2 4
64;72;0,00627711;3 6 5 7 8 9 1 2 4
