Iteration;Cost;Temperature;Sequence
0;175;10000;10 17 14 3 5 13 2 7 12 8 11 4 6 1 15 9 16
1;203;8000;16 17 14 3 5 13 2 7 12 8 11 4 6 1 15 9 10
2;203;6400;14 17 16 3 5 13 2 7 12 8 11 4 6 1 15 9 10
3;223;5120;14 17 8 3 5 13 2 7 12 16 11 4 6 1 15 9 10
4;193;4096;14 17 8 3 5 13 2 7 12 16 11 4 10 1 15 9 6
5;193;3276,8;14 17 8 3 5 13 2 7 12 16 11 4 15 1 10 9 6
6;197;2621,44;14 17 8 3 5 13 2 7 12 6 11 4 15 1 10 9 16
7;197;2097,152;14 17 8 3 5 13 16 7 12 6 11 4 15 1 10 9 2
8;203;1677,722;14 17 8 3 5 13 16 7 12 2 11 4 15 1 10 9 6
9;211;1342,177;14 10 8 3 5 13 16 7 12 2 11 4 15 1 17 9 6
10;203;1073,742;17 10 8 3 5 13 16 7 12 2 11 4 15 1 14 9 6
11;213;858,9936;2 10 8 3 5 13 16 7 12 17 11 4 15 1 14 9 6
12;201;687,1949;2 10 8 7 5 13 16 3 12 17 11 4 15 1 14 9 6
13;197;549,7559;2 10 8 7 5 13 16 17 12 3 11 4 15 1 14 9 6
14;197;439,8047;2 10 8 7 5 13 16 17 1 3 11 4 15 12 14 9 6
15;199;351,8438;16 10 8 7 5 13 2 17 1 3 11 4 15 12 14 9 6
16;187;281,4751;16 10 14 7 5 13 2 17 1 3 11 4 15 12 8 9 6
17;187;225,1801;16 10 12 7 5 13 2 17 1 3 11 4 15 14 8 9 6
18;205;180,144;16 10 12 7 5 9 2 17 1 3 11 4 15 14 8 13 6
19;181;144,1152;16 9 12 7 5 10 2 17 1 3 11 4 15 14 8 13 6
20;181;115,2922;16 9 12 7 5 15 2 17 1 3 11 4 10 14 8 13 6
21;185;92,23376;16 9 12 3 5 15 2 17 1 7 11 4 10 14 8 13 6
22;177;73,78701;16 9 12 13 5 15 2 17 1 7 11 4 10 14 8 3 6
23;175;59,02961;1 9 12 13 5 15 2 17 16 7 11 4 10 14 8 3 6
24;169;47,22369;1 9 12 13 17 15 2 5 16 7 11 4 10 14 8 3 6
25;169;37,77895;1 9 12 13 17 15 2 5 16 7 11 4 10 14 8 3 6
26;169;30,22316;1 9 12 13 17 15 2 5 16 7 11 4 10 14 8 3 6
27;169;24,17853;1 9 12 13 17 15 2 5 16 7 11 4 10 14 8 3 6
28;171;19,34282;1 9 12 13 17 15 2 5 7 16 11 4 10 14 8 3 6
29;191;15,47426;1 9 12 17 13 15 2 5 7 16 11 4 10 14 8 3 6
30;183;12,37941;1 9 12 17 13 15 2 5 7 16 11 4 10 14 8 6 3
31;191;9,903527;1 9 15 17 13 12 2 5 7 16 11 4 10 14 8 6 3
32;191;7,922822;1 9 15 17 13 12 2 5 7 16 11 4 10 14 8 6 3
33;177;6,338258;1 13 15 17 9 12 2 5 7 16 11 4 10 14 8 6 3
34;177;5,070606;1 13 15 17 9 12 2 5 7 16 11 4 10 14 8 6 3
35;165;4,056485;1 13 15 17 9 12 2 5 7 16 11 8 10 14 4 6 3
36;165;3,245188;1 13 15 17 9 12 2 5 7 16 11 8 10 14 4 6 3
37;165;2,596151;1 13 15 17 9 12 2 5 7 16 11 8 10 14 4 6 3
38;165;2,076921;1 13 15 17 9 12 2 5 7 16 11 8 10 14 4 6 3
39;165;1,661536;1 13 15 17 9 12 2 5 7 16 11 8 10 14 4 6 3
40;165;1,329229;1 13 15 17 9 12 2 5 7 16 11 8 10 14 4 6 3
41;165;1,063383;1 13 15 17 9 12 2 5 7 16 11 8 10 14 4 6 3
42;165;0,8507068;1 13 15 17 9 12 2 5 7 16 11 8 10 14 4 6 3
43;165;0,6805654;1 13 15 17 9 12 2 5 7 16 11 8 10 14 4 6 3
44;161;0,5444524;1 13 15 17 9 12 14 5 7 16 11 8 10 2 4 6 3
45;161;0,4355619;1 13 15 17 9 12 14 5 7 16 11 8 10 2 4 6 3
46;161;0,3484495;1 13 15 17 9 12 14 5 7 16 11 8 10 2 4 6 3
47;161;0,2787596;1 13 15 17 9 12 14 5 7 16 11 8 10 2 4 6 3
48;161;0,2230077;1 13 15 17 9 12 14 5 7 16 11 8 10 2 4 6 3
