Iteration;Cost;Temperature;Sequence
0;68;1000;10 3 5 2 7 12 8 11 4 6 1 9
1;74;900;10 3 1 2 7 12 8 11 4 6 5 9
2;80;810;10 3 12 2 7 1 8 11 4 6 5 9
3;74;729;10 3 12 4 7 1 8 11 2 6 5 9
4;86;656,1;10 3 6 4 7 1 8 11 2 12 5 9
5;102;590,49;11 3 6 4 7 1 8 10 2 12 5 9
6;102;531,441;11 12 6 4 7 1 8 10 2 3 5 9
7;102;478,2969;11 12 6 4 7 8 1 10 2 3 5 9
8;88;430,4672;11 12 6 4 7 2 1 10 8 3 5 9
9;80;387,4204;11 12 6 4 1 2 7 10 8 3 5 9
10;74;348,6784;11 12 6 4 2 1 7 10 8 3 5 9
11;70;313,8105;11 6 12 4 2 1 7 10 8 3 5 9
12;78;282,4294;5 6 12 4 2 1 7 10 8 3 11 9
13;74;254,1865;5 6 12 4 2 1 7 10 9 3 11 8
14;66;228,7678;5 10 12 4 2 1 7 6 9 3 11 8
15;70;205,8911;5 10 12 4 2 6 7 1 9 3 11 8
16;78;185,3019;5 10 12 4 6 2 7 1 9 3 11 8
17;76;166,7717;5 10 12 4 7 2 6 1 9 3 11 8
18;70;150,0946;5 10 12 4 7 9 6 1 2 3 11 8
19;72;135,0851;5 10 12 4 7 6 9 1 2 3 11 8
20;84;121,5766;5 10 12 4 7 6 9 11 2 3 1 8
21;90;109,4189;5 10 12 11 7 6 9 4 2 3 1 8
22;90;98,47703;5 10 11 12 7 6 9 4 2 3 1 8
23;92;88,62933;5 7 11 12 10 6 9 4 2 3 1 8
24;90;79,76639;5 7 11 12 10 6 1 4 2 3 9 8
25;72;71,78975;5 7 3 12 10 6 1 4 2 11 9 8
26;65;64,61077;5 7 3 12 10 6 1 4 8 11 9 2
27;81;58,14969;5 7 3 12 8 6 1 4 10 11 9 2
28;101;52,33472;5 7 3 1 8 6 12 4 10 11 9 2
29;97;47,10125;7 5 3 1 8 6 12 4 10 11 9 2
30;101;42,39112;7 5 3 1 8 6 12 11 10 4 9 2
31;103;38,15201;9 5 3 1 8 6 12 11 10 4 7 2
32;103;34,33681;9 3 5 1 8 6 12 11 10 4 7 2
33;95;30,90313;9 3 5 1 8 6 11 12 10 4 7 2
34;93;27,81281;9 3 5 1 8 6 11 10 12 4 7 2
35;94;25,03153;9 3 5 1 8 6 11 10 2 4 7 12
36;98;22,52838;9 2 5 1 8 6 11 10 3 4 7 12
37;98;20,27554;9 2 3 1 8 6 11 10 5 4 7 12
38;92;18,24799;9 2 10 1 8 6 11 3 5 4 7 12
39;88;16,42319;9 2 10 11 8 6 1 3 5 4 7 12
40;90;14,78087;10 2 9 11 8 6 1 3 5 4 7 12
41;88;13,30278;10 3 9 11 8 6 1 2 5 4 7 12
42;85;11,9725;12 3 9 11 8 6 1 2 5 4 7 10
43;91;10,77525;12 8 9 11 3 6 1 2 5 4 7 10
44;91;9,697727;12 8 1 11 3 6 9 2 5 4 7 10
45;89;8,727954;12 8 1 11 3 4 9 2 5 6 7 10
46;81;7,855158;12 3 1 11 8 4 9 2 5 6 7 10
47;81;7,069643;12 3 1 11 8 4 9 2 5 6 7 10
48;85;6,362678;12 3 1 11 9 4 8 2 5 6 7 10
49;95;5,72641;12 3 1 11 9 10 8 2 5 6 7 4
50;93;5,153769;5 3 1 11 9 10 8 2 12 6 7 4
51;88;4,638392;5 3 1 11 9 10 8 2 12 4 7 6
52;92;4,174552;5 3 2 11 9 10 8 1 12 4 7 6
53;91;3,757097;6 3 2 11 9 10 8 1 12 4 7 5
54;93;3,381387;6 3 2 11 7 10 8 1 12 4 9 5
55;93;3,043248;6 3 2 11 7 4 8 1 12 10 9 5
56;77;2,738924;6 3 2 1 7 4 8 11 12 10 9 5
57;87;2,465031;6 3 2 1 8 4 7 11 12 10 9 5
58;87;2,218528;6 3 2 1 8 4 7 11 12 10 9 5
59;85;1,996675;6 3 2 12 8 4 7 11 1 10 9 5
60;87;1,797008;6 3 2 12 8 4 7 9 1 10 11 5
61;77;1,617307;6 3 2 12 8 10 7 9 1 4 11 5
62;77;1,455576;6 3 2 12 8 5 7 9 1 4 11 10
63;77;1,310018;6 3 2 12 8 5 7 9 1 4 11 10
64;77;1,179016;6 3 2 12 8 5 7 9 1 4 11 10
